"","date","BTC","ETH","XRP","BCH","LTC","ADA","NEO","XLM","EOS","DASH","XMR","MIOTA","XEM","ETC","TRX","VEN","LSK","USDT"
"2017-12-22","2017-12-22",13831.8,674.86,1.14,2696.69,264.93,0.40715,55.57,0.216717,7.84,1179.01,346.11,3.45,0.816177,30.96,0.039074,1.26,19.5,1.02
"2017-12-23","2017-12-23",14699.2,719.39,1.17,3257.08,288.27,0.414027,58.9,0.234179,8.48,1275.5,382.04,3.61,0.927166,32.73,0.051791,1.37,20.71,1.05
"2017-12-24","2017-12-24",13925.8,694.15,1.04,2903.12,275.98,0.390029,59.7,0.22445,8.14,1184.69,337.06,3.48,1.04,30.78,0.036209,1.3,20.02,1.02
"2017-12-25","2017-12-25",14026.6,765.83,1.12,2954.69,273.39,0.416363,66.32,0.228511,9.77,1175.89,360.78,3.5,1.01,32.35,0.035177,1.37,23.86,1.01
"2017-12-26","2017-12-26",16099.8,773.84,1.19,3108.89,286.5,0.428465,65.52,0.226018,9.82,1222.83,381.54,3.8,0.98838,32.9,0.037831,1.46,25.26,1
"2017-12-27","2017-12-27",15838.5,762.84,1.4,2889.52,272.17,0.414176,66.88,0.229224,10.56,1189.89,421.85,3.74,0.944464,32.14,0.036831,1.99,24.02,1
"2017-12-28","2017-12-28",14606.5,737.02,1.43,2566.64,249.93,0.407701,65.43,0.223544,9.57,1160.57,378.9,3.68,0.909741,29.53,0.041973,1.87,23.05,1.01
"2017-12-29","2017-12-29",14656.2,753.59,2.21,2779.95,245.5,0.529299,73.9,0.322941,9.44,1147.95,377.37,3.69,1.06,30.03,0.036348,2.39,22.75,1.01
"2017-12-30","2017-12-30",12952.2,717.26,2.16,2392.41,218.96,0.639243,72.4,0.323202,8.56,1011.47,330.8,3.34,0.926883,26.92,0.036413,2.1,19.43,1.02
"2017-12-31","2017-12-31",14156.4,756.73,2.3,2533.01,232.1,0.719695,75.96,0.360756,8.77,1051.68,349.03,3.55,1.03,28,0.044752,2.28,20.41,1.01
"2018-01-01","2018-01-01",13657.2,772.64,2.39,2432.54,229.03,0.728657,78.82,0.480008,8.84,1053.98,358.99,3.97,1.04,34.17,0.051695,2.43,21.13,1.01
"2018-01-02","2018-01-02",14982.1,884.44,2.48,2711,255.68,0.782587,90.33,0.564766,9.33,1217.72,383.42,4,1.16,34.92,0.078682,2.61,21.95,1
"2018-01-03","2018-01-03",15201,962.72,3.11,2608.69,245.37,1.08,105.56,0.896227,10.23,1170.74,412.06,4.13,1.79,34.86,0.094703,3.47,21,1.01
"2018-01-04","2018-01-04",15599.2,980.92,3.2,2430.18,241.37,1.11,99.11,0.72405,11.28,1229.79,403.05,4.08,1.64,36.32,0.207974,3.74,21.46,1
"2018-01-05","2018-01-05",17429.5,997.72,3.05,2584.48,249.27,0.999559,95.28,0.662712,10.84,1152.41,384.94,3.75,1.59,36.2,0.220555,3.64,24.16,0.998634
"2018-01-06","2018-01-06",17527,1041.68,3.09,2786.65,296.45,1.03,100.86,0.709945,12.58,1265.03,452.77,3.94,1.65,38.42,0.174797,4.74,31.24,1.01
"2018-01-07","2018-01-07",16477.6,1153.17,3.38,2786.88,288.45,1.01,102.43,0.699645,12.52,1285.43,459.33,4.07,1.84,40.79,0.199655,4.59,34.11,1
